panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Oncology	P4HB	PT1-PR1	0.22458	0.13245572414749635	10	10	0	0	0
Oncology	SF3B4	PT1-PR1	0.53276	0.13245572414749635	10	10	0	0	0
Oncology	SNAP29	PT1-PR1	0.98561	0.13245572414749635	10	10	0	0	0
Oncology	TFPI2	PT1-PR1	0.1732	0.13245572414749635	10	10	0	0	0
Oncology_II	EPGN	PT1-PR1	0.24476	0.13245572414749635	10	10	0	0	0
Oncology_II	LRRC37A2	PT1-PR1	0.17125	0.13245572414749635	10	10	0	0	1
Neurology	MATN3	PT1-PR1	0.192822	0.13434595592260076	10	10	0	0	0
Neurology	RSPO1	PT1-PR1	0.366533	0.13434595592260076	10	10	0	0	0
Oncology	SRC	PT1-PR1	1.39607	0.13628675704029572	10	10	0	0	0
Cardiometabolic	CD69	PT1-PR1	0.88018	0.13980957567924293	10	10	0	0	1
Oncology	ENTPD2	PT1-PR1	0.22097	0.1435831699600775	10	10	0	0	1
